data_id,product_id,store_id,price,price_per_unit,unit,date_of_price,created_time
1155,574,4,4.98,0.44,100g,1713931200000,1714508201599
1156,575,4,3.98,1.76,100g,1713931200000,1714508201605
1157,576,4,0.74,1.98,lb,1713931200000,1714508201610
1158,577,4,3.77,2.65,100g,1713931200000,1714508201616
1159,578,4,3.98,0.88,100g,1713931200000,1714508201621
1160,579,4,3.98,0.66,100g,1713931200000,1714508201626
1161,580,4,1.98,1.98,un,1713931200000,1714508208710
1162,581,4,3.77,2.65,100g,1713931200000,1714508208714
1163,375,4,3,1.5,un,1713931200000,1714508208718
1164,582,4,3.98,0.44,100g,1713931200000,1714508208722
1165,208,4,3.98,0.18,100g,1713931200000,1714508208726
1166,583,4,4.98,0.37,100g,1713931200000,1714508208731
1167,584,4,1.98,0.7,100g,1713931200000,1714508208737
1168,585,4,3.98,0.44,100g,1713931200000,1714508208741
1169,586,4,4.98,0.55,100g,1713931200000,1714508208746
1170,587,4,5.22,1.48,lb,1713931200000,1714508208751
1171,588,4,4.98,0.55,100g,1713931200000,1714508208756
1172,589,4,0.39,0.88,lb,1713931200000,1714508208760
1173,590,4,5,0.55,100g,1713931200000,1714508208765
1174,591,4,1.98,0.7,100g,1713931200000,1714508208770
1175,592,4,3.98,0.44,100g,1713931200000,1714508208775
1176,593,4,1.88,0.38,un,1713931200000,1714508208779
1177,594,4,3.98,1,un,1713931200000,1714508208783
1178,595,4,4.98,0.83,un,1713931200000,1714508208788
1179,596,4,3.98,1.17,100g,1713931200000,1714508208793
1180,597,4,1.08,1.99,lb,1713931200000,1714508208797
1181,598,4,3.98,0.18,100g,1713931200000,1714508208802
1182,599,4,3.98,1,un,1713931200000,1714508208807
1183,600,4,4.98,0.37,100g,1713931200000,1714508208813
1184,601,4,5.74,1.48,lb,1713931200000,1714508208818
1185,602,4,7,1.03,100g,1713931200000,1714508208824
1186,603,4,7,1.03,100g,1713931200000,1714508216546
1187,604,4,2.88,0.21,100g,1713931200000,1714508216549
1188,571,4,3.98,0.18,100g,1713931200000,1714508216552
1189,605,4,2.88,0.72,un,1713931200000,1714508216554
1190,606,4,5,1,100g,1713931200000,1714508216556
1191,606,4,5,1,100g,1713931200000,1714508216562
1192,607,4,3.77,2.65,100g,1713931200000,1714508216564
1193,566,4,7,1.03,100g,1713931200000,1714508216566
1194,608,4,2.88,0.21,100g,1713931200000,1714508216569
1195,609,4,3.98,0.18,100g,1713931200000,1714508216571
1196,610,4,4.98,0.37,100g,1713931200000,1714508216574
1197,611,4,4.98,1.25,un,1713931200000,1714508216577
1198,612,4,6.98,6.98,un,1713931200000,1714508216580
1199,613,4,3,1.5,un,1713931200000,1714508216583
1200,481,4,3.77,1.11,100g,1713931200000,1714508216586
1201,614,4,4.98,0.37,100g,1713931200000,1714508216589
1202,615,4,3.98,0.18,100g,1713931200000,1714508216593
1203,616,4,4.98,0.37,100g,1713931200000,1714508216596
1204,372,4,4.98,0.55,100g,1713931200000,1714508216600
1205,617,4,1.98,0.87,100g,1713931200000,1714508216603
1206,618,4,2.98,2.98,un,1713931200000,1714508216607
1207,619,4,5.99,1.6,100g,1713931200000,1714508232306
